id,name,description,price,category_id
1,Wireless Headphones,Over-ear noise-cancelling headphones with 30hr battery,199.99,1
2,Smartphone X12,"6.5 inch display, 128GB storage, dual camera",699.00,1
3,Laptop Pro 14,"14 inch laptop, 16GB RAM, 512GB SSD",1299.00,1
4,USB-C Charger 65W,Fast-charging USB-C wall adapter,39.99,1
5,Bluetooth Speaker,"Portable waterproof speaker, 12hr battery",89.50,1
6,Stainless Steel Pan,Non-stick 28cm frying pan,49.99,2
7,Coffee Machine,Bean-to-cup automatic espresso machine,449.00,2
8,Air Fryer 5L,Digital air fryer with 8 cooking presets,119.99,2
9,Knife Block Set,6-piece chef knife set with wooden block,79.00,2
10,Cotton T-Shirt,"Plain cotton crew-neck t-shirt, multiple colours",19.99,3
11,Denim Jeans,Slim-fit stretch denim jeans,59.00,3
12,Running Shoes,Lightweight road-running shoes,110.00,3
13,Winter Jacket,Waterproof insulated parka,189.00,3
14,Mystery Novel,Bestselling crime thriller paperback,12.99,4
15,Cookbook: Italian,Authentic regional Italian recipes,24.50,4
16,Yoga Mat,6mm thick non-slip exercise mat,29.99,5
17,Dumbbell Set 20kg,Adjustable dumbbell pair,149.00,5
18,Tennis Racket,Graphite frame intermediate racket,95.00,5
19,Football,Size 5 match-quality football,34.99,5
20,Camping Tent 4-Person,Waterproof family camping tent,179.00,5
